"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","LOGMARK","OFFSET","OFFSETAROUNDLATITUDE","OFFSETAROUNDLONGITUDE","SATELLITECOUNT","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869779778544","170.54658192334358","GPS Fixed Point Origin","2.9230807","2.9222305","0.07048879","0","1763871611367"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869777436338","170.54658195813494","GPS Fixed Point Origin","2.9256194","2.924834","0.06778689","0","1763871611541"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697778686555","170.54658200841243","GPS Fixed Point Origin","2.925051","2.9243534","0.06388232","0","1763871611751"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869778184762","170.5465820665573","GPS Fixed Point Origin","2.9246047","2.9240022","0.05936678","0","1763871611932"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869778380802","170.54658210537406","GPS Fixed Point Origin","2.9243271","2.9237843","0.056352265","0","1763871612138"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697785037855","170.54658212859582","GPS Fixed Point Origin","2.9241562","2.9236474","0.054548856","0","1763871612370"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869778514896","170.5465821444122","GPS Fixed Point Origin","2.9241214","2.923635","0.053320553","0","1763871612530"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697789988","170.5465821804647","GPS Fixed Point Origin","2.923534","2.9230974","0.05052071","0","1763871612759"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869781881583","170.546582238981","GPS Fixed Point Origin","2.920255","2.919893","0.045976322","0","1763871612927"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869784277277","170.54658233092434","GPS Fixed Point Origin","2.9174888","2.9172304","0.03883598","0","1763871613136"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869786259393","170.5465824007772","GPS Fixed Point Origin","2.9152186","2.9150271","0.033411194","0","1763871613369"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697878451444","170.54658245624938","GPS Fixed Point Origin","2.91341","2.9132648","0.029103212","0","1763871613531"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697890815144","170.54658252026599","GPS Fixed Point Origin","2.9119904","2.9118905","0.024131669","0","1763871613750"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869790034277","170.5465825662106","GPS Fixed Point Origin","2.9109042","2.9108315","0.020563602","0","1763871613968"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869790694786","170.5465826013367","GPS Fixed Point Origin","2.910152","2.9100974","0.0178357","0","1763871614127"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791100386","170.5465826523918","GPS Fixed Point Origin","2.9096797","2.9096465","0.01387075","0","1763871614351"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791302905","170.54658271686313","GPS Fixed Point Origin","2.909435","2.9094214","0.008863894","0","1763871614565"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791344693","170.54658278759243","GPS Fixed Point Origin","2.9093769","2.909375","0.0033710413","0","1763871614732"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791320333","170.54658284344637","GPS Fixed Point Origin","2.9094021","2.9094021","9.6658815E-4","0","1763871614950"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697912208264","170.5465829127626","GPS Fixed Point Origin","2.9095197","2.9095128","0.0063497005","0","1763871615116"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791654456","170.54658297785437","GPS Fixed Point Origin","2.909053","2.9090307","0.011404742","0","1763871615338"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697939475114","170.5465829586253","GPS Fixed Point Origin","2.906499","2.906482","0.009911406","0","1763871615559"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697932719565","170.54658284330148","GPS Fixed Point Origin","2.907233","2.9072328","9.553347E-4","0","1763871615730"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869792625985","170.54658264882653","GPS Fixed Point Origin","2.9079852","2.9079509","0.01414763","0","1763871615939"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869791447787","170.546582390292","GPS Fixed Point Origin","2.9094617","2.9092605","0.03422548","0","1763871616169"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869787366327","170.546582075129","GPS Fixed Point Origin","2.9143882","2.913797","0.058701098","0","1763871616328"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869781417569","170.54658169593287","GPS Fixed Point Origin","2.9217389","2.9204087","0.088149555","0","1763871616550"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869775958739","170.54658129166063","GPS Fixed Point Origin","2.928917","2.9264762","0.11954542","0","1763871616769"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697684386996","170.54658087099278","GPS Fixed Point Origin","2.9387794","2.9348347","0.15221457","0","1763871616941"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869759789801","170.54658043604823","GPS Fixed Point Origin","2.9503162","2.9444478","0.18599246","0","1763871617149"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697527427694","170.54657997277948","GPS Fixed Point Origin","2.9606133","2.9522805","0.22197","0","1763871617325"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869747147677","170.5465795207295","GPS Fixed Point Origin","2.9696476","2.9584994","0.2570763","0","1763871617535"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869742885797","170.54657910753647","GPS Fixed Point Origin","2.9773118","2.9632363","0.28916496","0","1763871617747"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869739695581","170.5465787253582","","2.9838665","2.9667823","0.318845","0","1763871617919"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697369210844","170.54657835153927","","2.990171","2.969866","0.34787586","0","1763871618139"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697325333424","170.54657801230107","","2.998189","2.974743","0.37422118","0","1763871618359"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869728783248","170.5465777046876","","3.0053957","2.9789112","0.3981105","0","1763871618539"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869724155081","170.5465774300656","","3.013389","2.9840553","0.4194377","0","1763871618758"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869723256045","170.5465772032104","","3.0168805","2.9850545","0.43705532","0","1763871618917"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869722975491","170.54657699733627","","3.0195465","2.9853663","0.45304355","0","1763871619140"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869723764485","170.54657682782135","","3.0206833","2.9844894","0.46620813","0","1763871619369"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869727402064","170.5465766687055","","3.0186229","2.9804463","0.4785651","0","1763871619530"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869731434573","170.54657653671921","","3.015842","2.9759643","0.48881516","0","1763871619753"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697376961445","170.54657640637438","","3.0106356","2.9690046","0.4989378","0","1763871619925"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8586974379985","170.54657630166116","","3.005307","2.9622204","0.5070698","0","1763871620140"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869752173694","170.546576216471","","2.99726","2.952913","0.5136857","0","1763871620367"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858697617858375","170.54657614663458","","2.9876726","2.9422293","0.51910925","0","1763871620542"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869770381798","170.54657608774875","","2.9790645","2.932675","0.5236823","0","1763871620750"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869779966153","170.5465760365106","","2.9692826","2.922022","0.5276615","0","1763871620967"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869788327871","170.54657599067235","","2.9607737","2.912728","0.5312213","0","1763871621134"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869797556044","170.54657595313776","","2.95121","2.902471","0.53413624","0","1763871621352"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698049322854","170.54657594106948","","2.9433174","2.8942726","0.53507346","0","1763871621574"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869811215808","170.54657592202435","","2.93672","2.8872886","0.5365525","0","1763871621740"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698190709475","170.54657589551812","","2.9285142","2.8785577","0.538611","0","1763871621963"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698276831575","170.54657585581535","","2.9196763","2.8689854","0.5416943","0","1763871622117"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869834310815","170.54657578373224","","2.9134843","2.8616188","0.5472923","0","1763871622344"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869839160296","170.54657570810036","","2.9093013","2.8562286","0.5531659","0","1763871622563"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869842498873","170.54657564077894","","2.9066582","2.8525178","0.5583941","0","1763871622733"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858698451042336","170.54657561935903","","2.9041367","2.849622","0.5600576","0","1763871622952"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869849101073","170.54657558028842","","2.9003654","2.8451796","0.5630918","0","1763871623171"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869851732694","170.5465755057957","","2.8986259","2.8422546","0.5688769","0","1763871623345"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85869854251774","170.54657542628297","","2.8971","2.8394547","0.5750519","0","1763871623557"
